DISTRICT CODE,DISTRICT NAME,PROPERTY ID,PROPERTY TYPE,PROPERTY NAME,UNIT NUMBER,HOUSE NUMBER,STREET NAME,SUBURB NAME,POSTCODE,PROPERTY DESCRIPTION,ZONE CODE,AREA,AREA TYPE,BASE DATE 1,LAND VALUE 1,AUTHORITY 1,BASIS 1,BASE DATE 2,LAND VALUE 2,AUTHORITY 2,BASIS 2,BASE DATE 3,LAND VALUE 3,AUTHORITY 3,BASIS 3,BASE DATE 4,LAND VALUE 4,AUTHORITY 4,BASIS 4,BASE DATE 5,LAND VALUE 5,AUTHORITY 5,BASIS 5,
262,EDWARD RIVER,522339,NORMAL,"",,178-198,"RIVERINA HWY","DENILIQUIN",2710,"1/609522",R5,2.588,H,01/07/2018,110000,14A(1),6A(1),01/07/2017,96400,14A(1),6A(1),01/07/2016,96400,14A(1),6A(1),01/07/2015,93600,14A(1),6A(1),01/07/2014,93600,14A(1),6A(1),
262,EDWARD RIVER,522340,NORMAL,"",,174-176,"RIVERINA HWY","DENILIQUIN",2710,"25/1003259",R5,5086,M,01/07/2018,80000,14A(1),6A(1),01/07/2017,69600,14A(1),6A(1),01/07/2016,69600,14A(1),6A(1),01/07/2015,67600,14A(1),6A(1),01/07/2014,67600,14A(1),6A(1),
262,EDWARD RIVER,522342,NORMAL,"",,,"FITZNEAD ST","DENILIQUIN",2710,"3, 4/19023",R,2422,M,01/07/2018,35100,14A(1),6A(1),01/07/2017,27000,14A(1),6A(1),01/07/2016,27000,14A(1),6A(1),01/07/2015,25700,14A(1),6A(1),01/07/2014,25700,14A(1),6A(1),
262,EDWARD RIVER,522344,NORMAL,"",,,"SMART ST","DENILIQUIN",2710,"2/117/758782",R5,2,H,01/07/2018,94000,14A(1),6A(1),01/07/2017,81800,14A(1),6A(1),01/07/2016,81800,14A(1),6A(1),01/07/2015,79400,14A(1),6A(1),01/07/2014,79400,14A(1),6A(1),
262,EDWARD RIVER,522345,NORMAL,"",,335,"FITZROY ST","DENILIQUIN",2710,"A/392895",IN1,809.4,M,01/07/2018,29800,14A(1),6A(1),01/07/2017,24800,14A(1),6A(1),01/07/2016,24100,14A(1),6A(1),01/07/2015,23400,14A(1),6A(1),01/07/2014,23400,14A(1),6A(1),
262,EDWARD RIVER,522346,NORMAL,"",,333,"FITZROY ST","DENILIQUIN",2710,"B/392895",IN1,809.4,M,01/07/2018,32400,14A(1),6A(1),01/07/2017,24800,14A(1),6A(1),01/07/2016,24100,14A(1),6A(1),01/07/2015,23400,14A(1),6A(1),01/07/2014,23400,14A(1),6A(1),
262,EDWARD RIVER,522347,NORMAL,"",,329,"FITZROY ST","DENILIQUIN",2710,"141/635768",R1,1007,M,01/07/2018,33900,14A(1),6A(1),01/07/2017,30900,14A(1),6A(1),01/07/2016,30900,14A(1),6A(1),01/07/2015,30000,14A(1),6A(1),01/07/2014,29100,14A(1),6A(1),
262,EDWARD RIVER,522348,NORMAL,"",,327,"FITZROY ST","DENILIQUIN",2710,"142/635768",R1,1012,M,01/07/2018,33900,14A(1),6A(1),01/07/2017,30900,14A(1),6A(1),01/07/2016,30900,14A(1),6A(1),01/07/2015,30000,14A(1),6A(1),01/07/2014,29100,14A(1),6A(1),
262,EDWARD RIVER,522349,NORMAL,"",,,"FITZROY ST","DENILIQUIN",2710,"176/47905",R5,3.04,H,01/07/2018,82600,14A(1),6A(1),01/07/2017,71900,14A(1),6A(1),01/07/2016,71900,14A(1),6A(1),01/07/2015,69800,14A(1),6A(1),01/07/2014,69800,14A(1),6A(1),
262,EDWARD RIVER,522350,NORMAL,"",,293,"FITZROY ST","DENILIQUIN",2710,"1/110/758782",R1,2023,M,01/07/2018,40000,14A(1),6A(1),01/07/2017,36400,14A(1),6A(1),01/07/2016,36400,14A(1),6A(1),01/07/2015,35300,14A(1),6A(1),01/07/2014,34300,14A(1),6A(1),
262,EDWARD RIVER,522351,NORMAL,"",,,"FITZROY ST","DENILIQUIN",2710,"109/758782 Permissive Occupancy 61/6",R5,4.004,H,01/07/2018,30700,14A(1),14I,01/07/2017,26700,14A(1),14I,01/07/2016,26700,14A(1),14I,01/07/2015,25900,14A(1),14I,01/07/2014,25900,14A(1),14I,
262,EDWARD RIVER,522352,NORMAL,"",,290,"FITZROY ST","DENILIQUIN",2710,"18/73/758782",R1,929.5,M,01/07/2018,33900,14A(1),6A(1),01/07/2017,30900,14A(1),6A(1),01/07/2016,30900,14A(1),6A(1),01/07/2015,30000,14A(1),6A(1),01/07/2014,29100,14A(1),6A(1),
262,EDWARD RIVER,522353,NORMAL,"",,292,"FITZROY ST","DENILIQUIN",2710,"17/73/758782",R1,948.5,M,01/07/2018,33900,14A(1),6A(1),01/07/2017,30900,14A(1),6A(1),01/07/2016,30900,14A(1),6A(1),01/07/2015,30000,14A(1),6A(1),01/07/2014,29100,14A(1),6A(1),
262,EDWARD RIVER,522354,NORMAL,"",,294,"FITZROY ST","DENILIQUIN",2710,"16/73/758782",R1,948.5,M,01/07/2018,33900,14A(1),6A(1),01/07/2017,30900,14A(1),6A(1),01/07/2016,30900,14A(1),6A(1),01/07/2015,30000,14A(1),6A(1),01/07/2014,29100,14A(1),6A(1),
262,EDWARD RIVER,522355,NORMAL,"",,296,"FITZROY ST","DENILIQUIN",2710,"15/73/758782",R1,948.5,M,01/07/2018,33900,14A(1),6A(1),01/07/2017,30900,14A(1),6A(1),01/07/2016,30900,14A(1),6A(1),01/07/2015,30000,14A(1),6A(1),01/07/2014,29100,14A(1),6A(1),
262,EDWARD RIVER,522356,NORMAL,"",,298,"FITZROY ST","DENILIQUIN",2710,"14/73/758782",R1,954.8,M,01/07/2018,33900,14A(1),6A(1),01/07/2017,30900,14A(1),6A(1),01/07/2016,30900,14A(1),6A(1),01/07/2015,30000,14A(1),6A(1),01/07/2014,29100,14A(1),6A(1),
262,EDWARD RIVER,522357,NORMAL,"",,300,"FITZROY ST","DENILIQUIN",2710,"13/73/758782",R1,954.8,M,01/07/2018,33900,14A(1),6A(1),01/07/2017,30900,14A(1),6A(1),01/07/2016,30900,14A(1),6A(1),01/07/2015,30000,14A(1),6A(1),01/07/2014,29100,14A(1),6A(1),
262,EDWARD RIVER,522358,NORMAL,"",,302,"FITZROY ST","DENILIQUIN",2710,"12/73/758782",R1,954.8,M,01/07/2018,33900,14A(1),6A(1),01/07/2017,30900,14A(1),6A(1),01/07/2016,30900,14A(1),6A(1),01/07/2015,30000,14A(1),6A(1),01/07/2014,29100,14A(1),6A(1),
262,EDWARD RIVER,522359,NORMAL,"",,304,"FITZROY ST","DENILIQUIN",2710,"11/73/758782",R1,961.1,M,01/07/2018,33900,14A(1),6A(1),01/07/2017,30900,14A(1),6A(1),01/07/2016,30900,14A(1),6A(1),01/07/2015,30000,14A(1),6A(1),01/07/2014,29100,14A(1),6A(1),
262,EDWARD RIVER,522360,NORMAL,"",,306,"FITZROY ST","DENILIQUIN",2710,"10/73/758782",R1,961.1,M,01/07/2018,33900,14A(1),6A(1),01/07/2017,30900,14A(1),6A(1),01/07/2016,30900,14A(1),6A(1),01/07/2015,30000,14A(1),6A(1),01/07/2014,29100,14A(1),6A(1),
262,EDWARD RIVER,522361,NORMAL,"",,308,"FITZROY ST","DENILIQUIN",2710,"9/73/758782",R1,967.4,M,01/07/2018,33900,14A(1),6A(1),01/07/2017,30900,14A(1),6A(1),01/07/2016,30900,14A(1),6A(1),01/07/2015,30000,14A(1),6A(1),01/07/2014,29100,14A(1),6A(1),
